submission_date,reviewer_id,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state
2018-04-30 19:24:28,fabc81c4fa9efa6867a78d82ce2713099ed1eea5df9d80ee81b06997d0137952,31575567,Vela Led Decorativa 15cm Pilha Amarelo-Der/07-7897079073645,,Decoração,Luminária,Efeito bonito,4,Yes,Gostei do efeito. Parece uma vela de verdade. Recomendo!!!!!!!!!,1954.0,F,RS
2018-04-27 17:48:48,6fbac43a75fd2dbb7e74687472779b74cc9602a566be7433b0025e0dbc8981a4,132474081,"Smartphone Moto G 5S Dual Chip Android 7.0 Tela 5.2"" Snapdradon 32GB 4G Wi-Fi Câmera 16MP - Prata",,Celulares e Smartphones,Smartphone,"Hardware fraco, mas conjunto excelente.",4,Yes,"Não me arrependo de ter comprado o G5S à concorrentes como o J7 Prime, que tem um processador melhor e mais 1GB de RAM, pois o conjunto geral do G5S é muito bom. Como é um celular de entrada, há de se perceber suas limitações às vezes, especialmente na câmera, mas ele faz um bom trabalho.",1996.0,M,RJ
2018-03-06 18:45:17,e85bcc86d48fdd1462bada4d5f4f19cde9f86acf157992122f66e1b629ebfef6,16215756,Cadeira Amanda Medalhao Marrom Rivatti,,Móveis,Cadeira,Excelente qualidade,5,Yes,"Produto recebido dentro do prazo, acondicionado em caixas protegido com plástico bolha. Já chegam montadas , em perfeitas condições de uso . As cadeiras são lindas delicadas com prespontos em todas as bordas. A cor é exatamente igual a da foto do site . Gostei muito do acabamento e da qualidade do produto .",1973.0,F,SP
2018-05-18 07:00:58,5e054a67eb8f4ab98b0e53c532843f65a49ed17aef8214adb44a32fa6ce17db9,12298660,Kit 2 peças Holofote Refletor Super Led Duplo 100w Bivolt Bco Frio,,Casa e Construção,Iluminação,Produto de Ótima qualidade,4,Yes,"Produto de Ótima qualidade, atendeu todas as minhas expectativas. Muito Bom!!!",1969.0,M,SP
2018-04-21 06:31:51,9b22f24daed6d47b570be15dc928f8d522e8e1315f7d0ccdc006bd23a53fe710,132537782,"Smartphone Samsung Galaxy J7 Pro Android 7.0 Tela 5.5"" Octa-Core 64GB 4G Wi-Fi Câmera 13MP - Preto",,Celulares e Smartphones,Smartphone,Satisfeito,5,Yes,"Muito bom aparelho. Fotos e vídeos perfeitos, bastante espaço, bateria boa, ferramenta de limpeza, manipulação de arquivos. Estou satisfeito. Achei um pouco pesado se for pra uma criança. A entrega foi antes do prazo. Super recomendo.",1973.0,M,SP
2018-03-27 09:05:43,96490d5f49ec50b074caf3d4bcc45a9481e9658354081383d4bb8d51cf3f608a,22558256,Sapateira Duetto 1 Porta Com Espelho Branco Hp D182-05 Henn,,Móveis,Sapateira,Gostei muito da sapateira !,4,Yes,"O produto me surpreendeu, excelente qualidade. Tem ótimos espaços e um espelho que agradou muito.",1994.0,F,GO
2018-03-18 18:16:34,5189f42ebbaaddc40be2df816a5befa9e4d9f963fb407461207c3290bd054378,12708024,"Cartão De Memória Sandisk Ultra Sdhc 16gb, Classe 10, 48mb/S (320x)",,Câmeras e Filmadoras,Cartão de Memória,Recebi o produto em desconformodade,1,No,Ainda não recebi o produto correto O anterior veio-me desconformidade com o pedido,1977.0,M,PR
2018-04-03 15:50:30,aa3fdb3bbec11cce88015ddee0cff47e01879cac9f5bf60eb9acadeb69d88099,13986597,Alicate Amperímetro Digital Lcd Com Aviso Sonoro 1000v,,Ferramentas e Jardim,Ferramentas Manuais,produto com Defeito,1,No,"estou esperando um código para trocar meu produto, mas acho que vou cancelar caso  não tenha uma resposta tao logo, porque estou precisando do produto e estou usando emprestado.   Aguardo resposta tão breve. obrigado",1973.0,M,MG
2018-01-13 08:41:37,d553ec9ba0a3157706fa3e0cc89f186d44f8015e1e84b5f9f085521518132592,127348637,"iPhone 6s 128GB Cinza Espacial Tela Retina HD 4,7"" 3D Touch Câmera 12MP - Apple",apple,Celulares e Smartphones,Smartphone,EXCELENTE PRODUTO,5,Yes,"OTIMO PRODUTO, RECOMENDO O MESMO, DESIGNER AVANÇADO, MUITO LEVE, ROBUSTO NO BOLSO, E ÁGIL COM TODO IPHONE.",1979.0,M,RJ
2018-02-08 08:32:19,b0a8c5bac0a8596027f6b816a0546c8dab45dfa938303adf2d193caebf1fe5a2,132631701,Mop Giratório Fit + Refil Extra - At Home,,Utilidades Domésticas,Material de Limpeza,Otimo produto,5,Yes,"Produto é um pouco menor que o padrão, mas com qualidade otima",1991.0,M,PR
